For what reasons do you repay your own technical debt?,Codes
Because not doing so sucks,Sense of responsibility
"once pressure is gone and there's a little time to ""make things right"" again",Having enough time
Clean codeer,Clean code
To improve the code and make it more maintainable.,Improve maintainability
Fixing it again at higher cost,Avoid higher cost
"I don't usually explicitly repay technical debt, since i am usually unaware when I introduce it. If I do repay it, it is to make the code scalable.",Improve scalability
"I prefer cleaner and maintainable code, but am only allowed to make those changes sparingly because management insists that we cannot afford to break existing functionality.",Clean code;Improve maintainability
"Maintenance in preparation of expansion to new functionality, to strengthen a collection of unit tests and boost confidence in output of computational results.",Improve maintainability;Improve testing
Make the project better,Improve maintainability
"Most importantly, to put less burden on the future readers and users of my code.",Improve readability;Improve collaboration
"When the tech debt becomes visible. Development speed, system performance, system reliability, stability and scalability.",TD overload;Improve efficiency;Improve stability;Improve scalability
I am not aware that I repay technical debt,
"Easier code maintenance and testing, better usability and scalability",Improve maintainability;Improve testing;Improve usability;Improve scalability
To avoid losing time later when there are time-critical developments to do,Avoid higher cost
Clean code approach,Clean code
To make code more efficient,Improve efficiency
NA,
my role is general fixing technical dept.,Sense of responsibility
To maintain speed and agility,Avoid higher cost
"trying to be a good citizen to my fellow coders, to make things run faster",Improve collaboration;Improve efficiency
For the good of the codebase.,Sense of responsibility
Deadline is the major factor which keeps the code bit duplicate. Whenever free times generally making it look beautiful.,Having enough time;Clean code
"To make the code more readable, more maintainable, and to make the implementation of further new features less error-prone.",Improve readability;Improve maintainability;Prepare for new features
#NAME?,Improve maintainability;Prepare for new features;Improve collaboration
.,
"Usually when it makes sense to do so, when the code needs to support more use cases and leaving the debt there doesn?€?t make sense anymore.",Prepare for new features
We setup a stabilization sprint on every quarter where we focus on refactor code.,Sense of responsibility;Avoid higher cost
Requirements change.,Achieve new requirements
It slows me down over time otherwise!,Avoid higher cost
.,
Security and maintainability,Improve security;Improve maintainability
to avoid accumulating too much,Avoid higher cost
Ease the maintenance burden; make the code more robust.,Improve maintainability
A sense I should do better.,Sense of responsibility
to hand off to someone else or to reduce onus of support,Improve collaboration
Improve code quality whenever possible.,Improve maintainability
If I am working on the project long enough that I feel like I cannot accumulate anymore debt,Avoid higher cost
If have time to go back to my notes and can afford to fix them.,Having enough time
To improve the code base and make future changes easier,Improve maintainability;Avoid higher cost
"I find the definition of ""introducing technical debt"" quite hard. scikit-learn has rigorous peer review. all technical debt that was introduced, was reviewed and requested to be removed before the PR was accepted. As such, I presume that very little technical debt was allowed in the main repository.",Request
