Order,Type,Standard,Options,Number,Total,PercentOfTotal,StartPercent,EndPercent
1,All,5,Definetely yes,330,905,0.364640884,0,0.364640884
1,All,4,Probably yes,198,905,0.21878453,0.364640884,0.583425414
1,All,3,I am not sure,136,905,0.150276243,0.583425414,0.733701657
1,All,2,Probably not,103,905,0.113812155,0.733701657,0.847513812
1,All,1,Definetely not,138,905,0.152486188,0.847513812,1
4,Test,5,Definetely yes,0,15,0,0,0
4,Test,4,Probably yes,6,15,0.4,0,0.4
4,Test,3,I am not sure,2,15,0.133333333,0.4,0.533333333
4,Test,2,Probably not,2,15,0.133333333,0.533333333,0.666666667
4,Test,1,Definetely not,5,15,0.333333333,0.666666667,1
2,Dev,5,Definetely yes,229,660,0.346969697,0,0.346969697
2,Dev,4,Probably yes,143,660,0.216666667,0.346969697,0.563636364
2,Dev,3,I am not sure,95,660,0.143939394,0.563636364,0.707575758
2,Dev,2,Probably not,76,660,0.115151515,0.707575758,0.822727273
2,Dev,1,Definetely not,117,660,0.177272727,0.822727273,1
3,PM,5,Definetely yes,101,230,0.439130435,0,0.439130435
3,PM,4,Probably yes,49,230,0.213043478,0.439130435,0.652173913
3,PM,3,I am not sure,39,230,0.169565217,0.652173913,0.82173913
3,PM,2,Probably not,25,230,0.108695652,0.82173913,0.930434783
3,PM,1,Definetely not,16,230,0.069565217,0.930434783,1
5,ExpSdHigh,5,Definetely yes,94,235,0.4,0,0.4
5,ExpSdHigh,4,Probably yes,53,235,0.225531915,0.4,0.625531915
5,ExpSdHigh,3,I am not sure,28,235,0.119148936,0.625531915,0.744680851
5,ExpSdHigh,2,Probably not,27,235,0.114893617,0.744680851,0.859574468
5,ExpSdHigh,1,Definetely not,33,235,0.140425532,0.859574468,1
7,ExpSdLow,5,Definetely yes,70,215,0.325581395,0,0.325581395
7,ExpSdLow,4,Probably yes,38,215,0.176744186,0.325581395,0.502325581
7,ExpSdLow,3,I am not sure,26,215,0.120930233,0.502325581,0.623255814
7,ExpSdLow,2,Probably not,35,215,0.162790698,0.623255814,0.786046512
7,ExpSdLow,1,Definetely not,46,215,0.213953488,0.786046512,1
6,ExpSdMed,5,Definetely yes,166,445,0.373033708,0,0.373033708
6,ExpSdMed,4,Probably yes,104,445,0.233707865,0.373033708,0.606741573
6,ExpSdMed,3,I am not sure,77,445,0.173033708,0.606741573,0.779775281
6,ExpSdMed,2,Probably not,39,445,0.087640449,0.779775281,0.86741573
6,ExpSdMed,1,Definetely not,59,445,0.13258427,0.86741573,1
8,ContriHigh,5,Definetely yes,131,240,0.545833333,0,0.545833333
8,ContriHigh,4,Probably yes,61,240,0.254166667,0.545833333,0.8
8,ContriHigh,3,I am not sure,25,240,0.104166667,0.8,0.904166667
8,ContriHigh,2,Probably not,14,240,0.058333333,0.904166667,0.9625
8,ContriHigh,1,Definetely not,9,240,0.0375,0.9625,1
10,ContriLow,5,Definetely yes,69,250,0.276,0,0.276
10,ContriLow,4,Probably yes,38,250,0.152,0.276,0.428
10,ContriLow,3,I am not sure,38,250,0.152,0.428,0.58
10,ContriLow,2,Probably not,36,250,0.144,0.58,0.724
10,ContriLow,1,Definetely not,69,250,0.276,0.724,1
9,ContriMed,5,Definetely yes,130,415,0.313253012,0,0.313253012
9,ContriMed,4,Probably yes,99,415,0.238554217,0.313253012,0.551807229
9,ContriMed,3,I am not sure,73,415,0.175903614,0.551807229,0.727710843
9,ContriMed,2,Probably not,53,415,0.127710843,0.727710843,0.855421687
9,ContriMed,1,Definetely not,60,415,0.144578313,0.855421687,1
11,ExpProHigh,5,Definetely yes,89,205,0.434146341,0,0.434146341
11,ExpProHigh,4,Probably yes,45,205,0.219512195,0.434146341,0.653658537
11,ExpProHigh,3,I am not sure,28,205,0.136585366,0.653658537,0.790243902
11,ExpProHigh,2,Probably not,26,205,0.126829268,0.790243902,0.917073171
11,ExpProHigh,1,Definetely not,17,205,0.082926829,0.917073171,1
13,ExpProLow,5,Definetely yes,59,195,0.302564103,0,0.302564103
13,ExpProLow,4,Probably yes,27,195,0.138461538,0.302564103,0.441025641
13,ExpProLow,3,I am not sure,22,195,0.112820513,0.441025641,0.553846154
13,ExpProLow,2,Probably not,35,195,0.179487179,0.553846154,0.733333333
13,ExpProLow,1,Definetely not,52,195,0.266666667,0.733333333,1
12,ExpProMed,5,Definetely yes,182,505,0.36039604,0,0.36039604
12,ExpProMed,4,Probably yes,126,505,0.24950495,0.36039604,0.60990099
12,ExpProMed,3,I am not sure,86,505,0.17029703,0.60990099,0.78019802
12,ExpProMed,2,Probably not,42,505,0.083168317,0.78019802,0.863366337
12,ExpProMed,1,Definetely not,69,505,0.136633663,0.863366337,1
