Order,Type,Standard,Options,Number,Total,PercentOfTotal,StartPercent,EndPercent
1,All,6,Always,22,181,0.12154696,0,0.12154696
1,All,5,On?a?regular?basis,86,181,0.47513812,0.12154696,0.59668508
1,All,4,"Sometimes,?when?it?is?absolutely?essential",51,181,0.28176796,0.59668508,0.87845304
1,All,3,Almost?never,9,181,0.04972376,0.87845304,0.9281768
1,All,2,Never,7,181,0.03867403,0.9281768,0.96685083
1,All,1,I?don't?know,6,181,0.03314917,0.96685083,1
4,Test,6,Always,1,3,0.333333333,0,0.333333333
4,Test,5,On?a?regular?basis,1,3,0.333333333,0.333333333,0.666666667
4,Test,4,"Sometimes,?when?it?is?absolutely?essential",1,3,0.333333333,0.666666667,1
4,Test,3,Almost?never,0,3,0,1,1
4,Test,2,Never,0,3,0,1,1
4,Test,1,I?don't?know,0,3,0,1,1
2,Dev,6,Always,14,132,0.106060606,0,0.106060606
2,Dev,5,On?a?regular?basis,61,132,0.462121212,0.106060606,0.568181818
2,Dev,4,"Sometimes,?when?it?is?absolutely?essential",37,132,0.28030303,0.568181818,0.848484848
2,Dev,3,Almost?never,8,132,0.060606061,0.848484848,0.909090909
2,Dev,2,Never,7,132,0.053030303,0.909090909,0.962121212
2,Dev,1,I?don't?know,5,132,0.037878788,0.962121212,1
3,PM,6,Always,7,46,0.152173913,0,0.152173913
3,PM,5,On?a?regular?basis,24,46,0.52173913,0.152173913,0.673913043
3,PM,4,"Sometimes,?when?it?is?absolutely?essential",13,46,0.282608696,0.673913043,0.956521739
3,PM,3,Almost?never,1,46,0.02173913,0.956521739,0.97826087
3,PM,2,Never,0,46,0,0.97826087,0.97826087
3,PM,1,I?don't?know,1,46,0.02173913,0.97826087,1
5,ExpSdHigh,6,Always,6,47,0.127659574,0,0.12765957
5,ExpSdHigh,5,On?a?regular?basis,23,47,0.4893617,0.12765957,0.61702128
5,ExpSdHigh,4,"Sometimes,?when?it?is?absolutely?essential",11,47,0.23404255,0.61702128,0.85106383
5,ExpSdHigh,3,Almost?never,1,47,0.0212766,0.85106383,0.87234043
5,ExpSdHigh,2,Never,3,47,0.06382979,0.87234043,0.93617021
5,ExpSdHigh,1,I?don't?know,3,47,0.06382979,0.93617021,1
7,ExpSdLow,6,Always,3,47,0.06976744,0,0.06976744
7,ExpSdLow,5,On?a?regular?basis,21,43,0.48837209,0.06976744,0.55813953
7,ExpSdLow,4,"Sometimes,?when?it?is?absolutely?essential",15,43,0.34883721,0.55813953,0.90697674
7,ExpSdLow,3,Almost?never,3,43,0.06976744,0.90697674,0.97674419
7,ExpSdLow,2,Never,1,43,0.02325581,0.97674419,1
7,ExpSdLow,1,I?don't?know,0,43,0,1,1
6,ExpSdMed,6,Always,13,43,0.14606742,0,0.14606742
6,ExpSdMed,5,On?a?regular?basis,41,89,0.46067416,0.14606742,0.60674157
6,ExpSdMed,4,"Sometimes,?when?it?is?absolutely?essential",24,89,0.26966292,0.60674157,0.87640449
6,ExpSdMed,3,Almost?never,5,89,0.05617978,0.87640449,0.93258427
6,ExpSdMed,2,Never,3,89,0.03370787,0.93258427,0.96629213
6,ExpSdMed,1,I?don't?know,3,89,0.03370787,0.96629213,1
8,ContriHigh,6,Always,5,89,0.10416667,0,0.10416667
8,ContriHigh,5,On?a?regular?basis,26,48,0.54166667,0.10416667,0.64583333
8,ContriHigh,4,"Sometimes,?when?it?is?absolutely?essential",16,48,0.33333333,0.64583333,0.97916667
8,ContriHigh,3,Almost?never,0,48,0,0.97916667,0.97916667
8,ContriHigh,2,Never,1,48,0.02083333,0.97916667,1
8,ContriHigh,1,I?don't?know,0,48,0,1,1
10,ContriLow,6,Always,5,48,0.1,0,0.1
10,ContriLow,5,On?a?regular?basis,23,50,0.46,0.1,0.56
10,ContriLow,4,"Sometimes,?when?it?is?absolutely?essential",12,50,0.24,0.56,0.8
10,ContriLow,3,Almost?never,3,50,0.06,0.8,0.86
10,ContriLow,2,Never,4,50,0.08,0.86,0.94
10,ContriLow,1,I?don't?know,3,50,0.06,0.94,1
9,ContriMed,6,Always,12,50,0.14457831,0,0.14457831
9,ContriMed,5,On?a?regular?basis,37,83,0.44578313,0.14457831,0.59036145
9,ContriMed,4,"Sometimes,?when?it?is?absolutely?essential",23,83,0.27710843,0.59036145,0.86746988
9,ContriMed,3,Almost?never,6,83,0.07228916,0.86746988,0.93975904
9,ContriMed,2,Never,2,83,0.02409639,0.93975904,0.96385542
9,ContriMed,1,I?don't?know,3,83,0.03614458,0.96385542,1
11,ExpProHigh,6,Always,5,41,0.12195122,0,0.12195122
11,ExpProHigh,5,On?a?regular?basis,20,41,0.487804878,0.12195122,0.609756098
11,ExpProHigh,4,"Sometimes,?when?it?is?absolutely?essential",13,41,0.317073171,0.609756098,0.926829268
11,ExpProHigh,3,Almost?never,1,41,0.024390244,0.926829268,0.951219512
11,ExpProHigh,2,Never,1,41,0.024390244,0.951219512,0.975609756
11,ExpProHigh,1,I?don't?know,1,41,0.024390244,0.975609756,1
13,ExpProLow,6,Always,4,39,0.102564103,0,0.102564103
13,ExpProLow,5,On?a?regular?basis,17,39,0.435897436,0.102564103,0.538461538
13,ExpProLow,4,"Sometimes,?when?it?is?absolutely?essential",10,39,0.256410256,0.538461538,0.794871795
13,ExpProLow,3,Almost?never,4,39,0.102564103,0.794871795,0.897435897
13,ExpProLow,2,Never,3,39,0.076923077,0.897435897,0.974358974
12,ExpProLow,1,I?don't?know,1,39,0.025641026,0.974358974,1
12,ExpProMed,6,Always,13,101,0.128712871,0,0.128712871
12,ExpProMed,5,On?a?regular?basis,49,101,0.485148515,0.128712871,0.613861386
12,ExpProMed,4,"Sometimes,?when?it?is?absolutely?essential",28,101,0.277227723,0.613861386,0.891089109
12,ExpProMed,3,Almost?never,4,101,0.03960396,0.891089109,0.930693069
12,ExpProMed,2,Never,3,101,0.02970297,0.930693069,0.96039604
12,ExpProMed,1,I?don't?know,4,101,0.03960396,0.96039604,1
